"Российский боксер проведет бой 9 мая в Германии",http://lenta.ru/news/2015/02/23/chudinov/,"
    Российский боксер Федор Чудинов проведет бой с немцем Феликсом Штурмом, сообщает Bild. Дата проведения поединка назначена на 9 мая, площадкой для шоу станет, предположительно, Франкфурт. На кону будет стоять либо пояс временного чемпиона Всемирной боксерской ассоциации, принадлежащий россиянину, либо регулярный титул.
  ","Mon, 23 Feb 2015 13:59:00 +0300"
"В Вене осквернили памятник советскому Воину-освободителю",http://lenta.ru/news/2015/02/23/vienna/,"
    Неизвестные облили черной краской памятник советскому Воину-освободителю в Вене. Инцидент произошел в ночь на понедельник, 23 февраля. Пострадал пьедестал памятника, на котором выбит приказ верховного главнокомандующего Иосифа Сталина в связи со взятием Вены 13 апреля 1945 года.
  ","Mon, 23 Feb 2015 13:46:00 +0300"
"Первый в России композитный 3D-принтер создали в «Сколково»",http://lenta.ru/news/2015/02/23/3dscolkovo/,"
    Ученые Сколковского института науки и технологий создали прототип первого в России композитного принтера. Аппарат использует экструдер собственной разработки и систему позиционирования от существующих на рынке систем. Он печатает изделия из композиционного материала, превосходящие по прочности мировые аналоги. 
  ","Mon, 23 Feb 2015 13:40:00 +0300"
"В Гюмри пропал контрактник погрануправления ФСБ",http://lenta.ru/news/2015/02/23/disappear/,"
    В Гюмри пропал сотрудник Погрануправления ФСБ России в Армении, проходивший службу на контрактной основе. Как сообщили в ведомстве, 26-летний Арутр Афян не вышел на работу после выходных. Военнослужащие и полицейские приступили к его поискам. Супруга Афяна рассказала, что не получала от него вестей с 21 февраля.
  ","Mon, 23 Feb 2015 13:37:00 +0300"
"Порошенко пообещал защищать права крымчан",http://lenta.ru/news/2015/02/23/poroshenko/,"
    Президент Украины Петр Порошенко пообещал «всеми средствами» защищать права людей, живущих в Крыму, а также заявил, что Украина никогда не откажется от своих суверенных прав на полуостров. По мнению украинского лидера, «цивилизованное развитие Крыма возможно лишь в составе независимой и неделимой Украины».
  ","Mon, 23 Feb 2015 13:10:00 +0300"
"Киевскому «Динамо» запретили играть в майках с надписью «Героям слава»",http://lenta.ru/news/2015/02/23/slava/,"
    УЕФА запретил киевскому «Динамо» играть в майках с надписью «Героям слава» на груди. Как пояснил президент футбольного клуба Игорь Суркис, правилами УЕФА запрещается вносить изменения в игровую форму по ходу сезона. В качестве альтернативы игроки могут появиться в тренировочных майках с такой надписью.
  ","Mon, 23 Feb 2015 12:29:00 +0300"
"«Харьковские партизаны» обвинили Авакова в организации взрыва в городе",http://lenta.ru/news/2015/02/23/zayavlenie/,"
    «Харьковские партизаны», которых МВД Украины подозревает в причастности к организации теракта на проспекте Маршала Жукова в Харькове, опровергли свою причастность к произошедшему. В их обращении отмечается, что взрыв был произведен по приказу министра внутренних дел Украины Арсена Авакова.
  ","Mon, 23 Feb 2015 12:24:00 +0300"
"Пушков пошутил над «разрывающимся сердцем» Маккейна",http://lenta.ru/news/2015/02/23/pushkov/,"
    Глава комитета Госдумы по международным делам Алексей Пушков прокомментировал заявление американского сенатора Джона Маккейна о том, что ему стыдно за неоказание США помощи Украине. Российский парламентарий удивляется, как выдержало сердце Маккейна отказ США бомбить Дамаск и не вооружать Киев. 
  ","Mon, 23 Feb 2015 12:06:00 +0300"
"Россия поставит Белоруссии партию гражданских вертолетов",http://lenta.ru/news/2015/02/23/helicopter/,"
    Холдинг «Вертолеты России», входящий в госкорпорацию «Ростех», договорился с Белоруссией о подписании контракта на поставку партии гражданских вертолетов. Согласно контракту белорусская сторона получит 12 вертолетов Ми-17 . Сроки выполнения, а также стоимость сделки не уточняются.
  ","Mon, 23 Feb 2015 11:56:00 +0300"
"Роналдо возобновит карьеру в чемпионате США",http://lenta.ru/news/2015/02/23/ronaldo/,"
    Бразильский нападающий Роналдо заявил о желании возобновить карьеру в команде американского второго дивизиона «Форт-Лодердейл Страйкерс», совладельцем которой он является. Последним клубом 38-летнего форварда был бразильский «Коринтианс», он выступал за него в 2011 году.
  ","Mon, 23 Feb 2015 11:41:00 +0300"
